,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
128,2016-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-6.0,-990.0,-258.0
129,2016-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-17.0,-1036.0,-275.0
130,2019-08-01,Coverage_OUT_CA_PGE_BAY[Percent],11.0,-327.0,-264.0
131,2019-09-01,Coverage_OUT_CA_PGE_BAY[Percent],22.0,-288.0,-242.0
132,2019-10-01,Coverage_OUT_CA_PGE_BAY[Percent],22.0,7.0,-220.0
133,2019-11-01,Coverage_OUT_CA_PGE_BAY[Percent],24.0,308.0,-196.0
134,2020-05-01,Coverage_OUT_CA_PGE_BAY[Percent],29.0,676.0,-167.0
135,2020-06-01,Coverage_OUT_CA_PGE_BAY[Percent],22.0,723.0,-145.0
136,2020-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-12.0,1008.0,-157.0
137,2020-08-01,Coverage_OUT_CA_PGE_BAY[Percent],30.0,1069.0,-127.0
138,2020-09-01,Coverage_OUT_CA_PGE_BAY[Percent],46.0,1261.0,-81.0
139,2020-10-01,Coverage_OUT_CA_PGE_BAY[Percent],43.0,1430.0,-38.0
140,2020-11-01,Coverage_OUT_CA_PGE_BAY[Percent],21.0,1569.0,-17.0
141,2021-04-01,Coverage_OUT_CA_PGE_BAY[Percent],-38.0,979.0,-55.0
142,2021-05-01,Coverage_OUT_CA_PGE_BAY[Percent],-28.0,1015.0,-83.0
143,2021-06-01,Coverage_OUT_CA_PGE_BAY[Percent],-47.0,1091.0,-130.0
144,2021-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-42.0,1039.0,-172.0
145,2021-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-54.0,950.0,-226.0
146,2021-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-40.0,899.0,-266.0
147,2021-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-29.0,865.0,-295.0
148,2021-11-01,Coverage_OUT_CA_PGE_BAY[Percent],-48.0,849.0,-343.0
149,2023-07-01,Coverage_OUT_CA_PGE_BAY[Percent],22.0,1492.0,-321.0
150,2024-08-01,Coverage_OUT_CA_PGE_BAY[Percent],9.0,2042.0,-312.0
151,2024-09-01,Coverage_OUT_CA_PGE_BAY[Percent],19.0,2080.0,-293.0
152,2024-10-01,Coverage_OUT_CA_PGE_BAY[Percent],17.0,2135.0,-276.0
153,2025-08-01,Coverage_OUT_CA_PGE_BAY[Percent],14.0,2764.0,-262.0
154,2025-09-01,Coverage_OUT_CA_PGE_BAY[Percent],1.0,2849.0,-261.0
155,2029-07-01,Coverage_OUT_CA_PGE_BAY[Percent],32.0,2826.0,-229.0
156,2029-08-01,Coverage_OUT_CA_PGE_BAY[Percent],51.0,2920.0,-178.0
157,2029-09-01,Coverage_OUT_CA_PGE_BAY[Percent],55.0,3116.0,-123.0
158,2029-10-01,Coverage_OUT_CA_PGE_BAY[Percent],52.0,3501.0,-71.0
159,2029-11-01,Coverage_OUT_CA_PGE_BAY[Percent],49.0,3652.0,-22.0
160,2030-05-01,Coverage_OUT_CA_PGE_BAY[Percent],3.0,4002.0,-19.0
161,2030-08-01,Coverage_OUT_CA_PGE_BAY[Percent],19.0,4234.0,0.0
162,2030-09-01,Coverage_OUT_CA_PGE_BAY[Percent],35.0,4316.0,35.0
163,2030-10-01,Coverage_OUT_CA_PGE_BAY[Percent],29.0,4417.0,64.0
164,2031-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-28.0,4085.0,36.0
165,2031-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-45.0,3955.0,-9.0
166,2031-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-41.0,3748.0,-50.0
167,2031-11-01,Coverage_OUT_CA_PGE_BAY[Percent],-25.0,3504.0,-75.0
168,2032-03-01,Coverage_OUT_CA_PGE_BAY[Percent],-47.0,2943.0,-122.0
169,2032-04-01,Coverage_OUT_CA_PGE_BAY[Percent],-41.0,2898.0,-163.0
170,2032-05-01,Coverage_OUT_CA_PGE_BAY[Percent],-45.0,2799.0,-208.0
171,2032-06-01,Coverage_OUT_CA_PGE_BAY[Percent],-67.0,2612.0,-275.0
172,2032-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-82.0,2197.0,-357.0
173,2032-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-46.0,1980.0,-403.0
174,2032-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-78.0,1791.0,-481.0
175,2032-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-69.0,1412.0,-550.0
176,2032-11-01,Coverage_OUT_CA_PGE_BAY[Percent],-40.0,983.0,-590.0
177,2033-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-13.0,-237.0,-603.0
178,2033-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-10.0,-420.0,-613.0
179,2034-04-01,Coverage_OUT_CA_PGE_BAY[Percent],-13.0,-1366.0,-626.0
180,2034-05-01,Coverage_OUT_CA_PGE_BAY[Percent],-14.0,-1430.0,-640.0
181,2034-06-01,Coverage_OUT_CA_PGE_BAY[Percent],17.0,-1439.0,-623.0
182,2034-07-01,Coverage_OUT_CA_PGE_BAY[Percent],44.0,-1411.0,-579.0
183,2034-08-01,Coverage_OUT_CA_PGE_BAY[Percent],35.0,-1398.0,-544.0
184,2034-09-01,Coverage_OUT_CA_PGE_BAY[Percent],20.0,-1400.0,-524.0
185,2034-10-01,Coverage_OUT_CA_PGE_BAY[Percent],10.0,-1422.0,-514.0
186,2034-11-01,Coverage_OUT_CA_PGE_BAY[Percent],17.0,-1662.0,-497.0
187,2034-12-01,Coverage_OUT_CA_PGE_BAY[Percent],19.0,-1744.0,-478.0
188,2035-01-01,Coverage_OUT_CA_PGE_BAY[Percent],-27.0,-1768.0,-505.0
189,2035-05-01,Coverage_OUT_CA_PGE_BAY[Percent],56.0,-1689.0,-449.0
190,2035-06-01,Coverage_OUT_CA_PGE_BAY[Percent],34.0,-1638.0,-415.0
